category,user_id,filename,r2_key,r2_url,db_type,db_id,original_drive_url,timestamp
tts_audio,U0400c78dd505126a21b87b2098802390,U0400c78dd505126a21b87b2098802390_20250614_121603.wav,tts_audio/U0400c78dd505126a21b87b2098802390/U0400c78dd505126a21b87b2098802390_20250614_121603.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U0400c78dd505126a21b87b2098802390/U0400c78dd505126a21b87b2098802390_20250614_121603.wav,,,,
tts_audio,U0f0bdb9fc4d6c3ad8d7a3e9139998c92,U0f0bdb9fc4d6c3ad8d7a3e9139998c92_20250617_003534.wav,tts_audio/U0f0bdb9fc4d6c3ad8d7a3e9139998c92/U0f0bdb9fc4d6c3ad8d7a3e9139998c92_20250617_003534.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U0f0bdb9fc4d6c3ad8d7a3e9139998c92/U0f0bdb9fc4d6c3ad8d7a3e9139998c92_20250617_003534.wav,,,,
tts_audio,U0f0bdb9fc4d6c3ad8d7a3e9139998c92,U0f0bdb9fc4d6c3ad8d7a3e9139998c92_taigi_20250620_050812.wav,tts_audio/U0f0bdb9fc4d6c3ad8d7a3e9139998c92/U0f0bdb9fc4d6c3ad8d7a3e9139998c92_taigi_20250620_050812.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U0f0bdb9fc4d6c3ad8d7a3e9139998c92/U0f0bdb9fc4d6c3ad8d7a3e9139998c92_taigi_20250620_050812.wav,,,,
tts_audio,U420723ae292770116d095ba2d3d9b49e,U420723ae292770116d095ba2d3d9b49e_20250618_113543.wav,tts_audio/U420723ae292770116d095ba2d3d9b49e/U420723ae292770116d095ba2d3d9b49e_20250618_113543.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U420723ae292770116d095ba2d3d9b49e/U420723ae292770116d095ba2d3d9b49e_20250618_113543.wav,,,,
tts_audio,U4efadaa05bb621a9feeb1dd2d9b109ab,U4efadaa05bb621a9feeb1dd2d9b109ab_taigi_20250618_025107.wav,tts_audio/U4efadaa05bb621a9feeb1dd2d9b109ab/U4efadaa05bb621a9feeb1dd2d9b109ab_taigi_20250618_025107.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U4efadaa05bb621a9feeb1dd2d9b109ab/U4efadaa05bb621a9feeb1dd2d9b109ab_taigi_20250618_025107.wav,,,,
tts_audio,U4efadaa05bb621a9feeb1dd2d9b109ab,U4efadaa05bb621a9feeb1dd2d9b109ab_taigi_20250618_025424.wav,tts_audio/U4efadaa05bb621a9feeb1dd2d9b109ab/U4efadaa05bb621a9feeb1dd2d9b109ab_taigi_20250618_025424.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U4efadaa05bb621a9feeb1dd2d9b109ab/U4efadaa05bb621a9feeb1dd2d9b109ab_taigi_20250618_025424.wav,,,,
tts_audio,U61539d6d1bd2f05b77ea99c84332ce93,U61539d6d1bd2f05b77ea99c84332ce93_20250606_220329.wav,tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250606_220329.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250606_220329.wav,,,,
tts_audio,U61539d6d1bd2f05b77ea99c84332ce93,U61539d6d1bd2f05b77ea99c84332ce93_20250606_221018.wav,tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250606_221018.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250606_221018.wav,,,,
tts_audio,U61539d6d1bd2f05b77ea99c84332ce93,U61539d6d1bd2f05b77ea99c84332ce93_20250607_001753.wav,tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250607_001753.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250607_001753.wav,,,,
tts_audio,U61539d6d1bd2f05b77ea99c84332ce93,U61539d6d1bd2f05b77ea99c84332ce93_20250607_032605.wav,tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250607_032605.wav,https://7c14fdde93c85ff60383f8ba066ddcf6.r2.cloudflarestorage.com/mededbot/tts_audio/U61539d6d1bd2f05b77ea99c84332ce93/U61539d6d1bd2f05b77ea99c84332ce93_20250607_032605.wav,,,,
